-;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl
125;Jang KOKO;Semoga tanah reklamasi sepenuhnya bisa di rebut kembali oleh pak Anis Baswedan untuk Indonesia;Ugzh7awCoHCaH6BBm-x4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugzh7awCoHCaH6BBm-x4AaABAg;2019-03-01 02:03:47;0;Semoga tanah reklamasi sepenuhnya bisa di rebut kembali oleh pak Anis Baswedan untuk Indonesia;http://www.youtube.com/channel/UC8wcnN03Di8DG7IBN39sJjw
126;Zainal Arifin;Yg ga setuju saya sebut pendukung penghianat. Yg mau membuat negara dalam negara;UgwnLb-FKzSxdwSBh5t4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwnLb-FKzSxdwSBh5t4AaABAg;2019-02-20 10:12:05;0;Yg ga setuju saya sebut pendukung penghianat. Yg mau membuat negara dalam negara;http://www.youtube.com/channel/UCfkXHixaHoFbuos02JMAXjQ
127;j j;Seharusnya saudaraAnis Baswedan belajar dari Gubernur Diy Sultan Hameng kubuwona soal reklamasi teluk Jakarta biar cebong pada sadar dan akalnya sehat indonesia sedanf di jajah ekonomi ke pendudukan;UgwsO6bGB1zGK8XhTw94AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwsO6bGB1zGK8XhTw94AaABAg;2019-02-20 09:49:03;0;Seharusnya saudaraAnis Baswedan belajar dari Gubernur Diy Sultan Hameng kubuwona soal reklamasi teluk Jakarta biar cebong pada sadar dan akalnya sehat indonesia sedanf di jajah ekonomi ke pendudukan;http://www.youtube.com/channel/UC--xhk5_0BOxwRJi9NAlDKg
128;Meritokrat 86;Padahal aku berharap pulau buatan ini menjadi Lapangan kerja baru yg menjanjikan , seperti '' Marina Bay Sands Di Singapura .;UgyvM5HFElHadk3-DgV4AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgyvM5HFElHadk3-DgV4AaABAg;2019-02-20 09:22:57;0;Padahal aku berharap pulau buatan ini menjadi Lapangan kerja baru yg menjanjikan , seperti '' Marina Bay Sands Di Singapura .;http://www.youtube.com/channel/UCvf_Q0pyJw0Bw-oYM6CaBpw
129;Najla anggur bogor;Proyek Segede gini legal Saking lelahnya pemimpin Sungguh terlalu wakwawwww;Ugwby8Ody5XCl3EVwbR4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugwby8Ody5XCl3EVwbR4AaABAg;2019-02-20 07:25:50;0;Proyek Segede gini legal Saking lelahnya pemimpin Sungguh terlalu wakwawwww;http://www.youtube.com/channel/UClfgDvv4bzUZ7NQ-814pAMw
130;Rocky Lorenzo;Eee mba Nana... Mba buat rumah pakai AMDAL gak...pakai izin GK... Lah ini reklamasi ...semua GK ad;UgxcNM7HzgyVKmQ7w554AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxcNM7HzgyVKmQ7w554AaABAg;2019-02-18 08:34:40;0;Eee mba Nana... Mba buat rumah pakai AMDAL gak...pakai izin GK... Lah ini reklamasi ...semua GK ad;http://www.youtube.com/channel/UCjlK5ZQtCAGoh_WC4oV1mig
131;Januar Abidin;Ya masalahnya itu pulau reklamasi buat siapa paling buat orang orang beruang;UgzepN3WvDQQT2Fwzf94AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzepN3WvDQQT2Fwzf94AaABAg;2019-02-16 00:12:53;0;Ya masalahnya itu pulau reklamasi buat siapa paling buat orang orang beruang;http://www.youtube.com/channel/UCQ-vuKdZ6mhEpB2og9rq66g
132;sepradevi putri;Klw saya pribadi mending digunakan itu pulau reklamasinya;UgzrbKoW9RD9NGikefp4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzrbKoW9RD9NGikefp4AaABAg;2019-02-13 08:34:25;0;Klw saya pribadi mending digunakan itu pulau reklamasinya;http://www.youtube.com/channel/UCtCrIw35svGDxIIakNXk85Q
133;helpmy;jakarta terus gatel yang lain dong di bangun emang indo jakata doang;UgzNvLmASR74eWmp6WR4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzNvLmASR74eWmp6WR4AaABAg;2019-02-12 13:31:13;0;jakarta terus gatel yang lain dong di bangun emang indo jakata doang;http://www.youtube.com/channel/UC2Mvs_R_bPv3uWLqe8ulAtQ
134;thanos core of the core;Hihihi rakyat indonesia ingin maju..tp menolak untuk maju keseluruhan.. Taunya maju bisa mkn gituh doang..yg di bwh udah miskin,,di pns2in oleh politsi ya tmbh panas miskinnya ??. Kpn ya para politsi dan parlemen bisa akur..kyk para politsi Malaysia mencri solusi bagaimana memecahkn masalh rakyat.Bkn mencri debat untuk mncri nfkah kyk indonesia ?? yg di balut oleh alsan membelah rakyat.;UgwiTef9dGLqn26bM3R4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwiTef9dGLqn26bM3R4AaABAg;2019-02-10 23:59:22;0;Hihihi rakyat indonesia ingin maju..tp menolak untuk maju keseluruhan.. Taunya maju bisa mkn gituh doang..yg di bwh udah miskin,,di pns2in oleh politsi ya tmbh panas miskinnya ??. Kpn ya para politsi dan parlemen bisa akur..kyk para politsi Malaysia mencri solusi bagaimana memecahkn masalh rakyat.Bkn mencri debat untuk mncri nfkah kyk indonesia ?? yg di balut oleh alsan membelah rakyat.;http://www.youtube.com/channel/UCHE_s65OqRpLYiitj3hTGUA
135;rani ayu renata;Bukan masalah perijinan tapi masalah hati mereka lagi bimbang saat ini...;UgwVOuGw2VZGquhHd_d4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwVOuGw2VZGquhHd_d4AaABAg;2019-02-10 23:39:23;0;Bukan masalah perijinan tapi masalah hati mereka lagi bimbang saat ini...;http://www.youtube.com/channel/UCVC4Nv43x-3lO3yg6kDJ9Fw
136;Republik Ngapak News;Alhamdulilah reklamasi di stop ..moga kedepan jadi publik space gratis buat warga jakarta ..bukan di jadiin sarang cina asing yg nantinga jd negara dalam negara hanya orang kaya dari cina yg nempatin ....investasi yg akhirnya akan mengancam kedaulatan negara buat ap...?;Ugxb_pMS-34kR-1m-4h4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugxb_pMS-34kR-1m-4h4AaABAg;2019-02-09 07:51:48;0;Alhamdulilah reklamasi di stop ..moga kedepan jadi publik space gratis buat warga jakarta ..bukan di jadiin sarang cina asing yg nantinga jd negara dalam negara hanya orang kaya dari cina yg nempatin ....investasi yg akhirnya akan mengancam kedaulatan negara buat ap...?;http://www.youtube.com/channel/UCGbNX1__Abgds-GjjGAhfmQ
137;Pras yooo;Pola fikir rakyat indonesia kurang maju .;UgwP77BuIpwaY8RbSWt4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwP77BuIpwaY8RbSWt4AaABAg;2019-02-08 23:51:56;1;Pola fikir rakyat indonesia kurang maju .;http://www.youtube.com/channel/UCH3tgAq9D4Tg7FQeHQiKyQg
138;Presiden 2024;Coba jelaskan kriteria maju gimana????;UgwP77BuIpwaY8RbSWt4AaABAg.8r7-EXQ1A7K8rVB8OEv-89;Pras yooo;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwP77BuIpwaY8RbSWt4AaABAg.8r7-EXQ1A7K8rVB8OEv-89;2019-02-18 09:17:44;0;Coba jelaskan kriteria maju gimana????;http://www.youtube.com/channel/UCM0GwAHD8aUpM3aS7F3SD2A
139;Mahrus Fauzi;Untung si ahok masuk bui...kalo tidak berbahanya kalo proyek pulau reklamasi lanjut dikuasai asing....mengerikan sekali..;Ugw9rqmcSlZJC5eltuB4AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugw9rqmcSlZJC5eltuB4AaABAg;2019-02-08 10:55:02;0;Untung si ahok masuk bui...kalo tidak berbahanya kalo proyek pulau reklamasi lanjut dikuasai asing....mengerikan sekali..;http://www.youtube.com/channel/UCuFtASsmGM6yX1pBZPc6gDg
140;grrrrr;Berhenti sih berhenti tapi itu pulau sudah jadi, mubazir kalo gak di manfaatin, kasian tu pulau Saya berharap itu pulau tetep di lanjutin aja, kalo memang di larang kenapa dulu di izikn;UgzKcFVnxo8n1LjDbkl4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzKcFVnxo8n1LjDbkl4AaABAg;2019-02-08 09:42:14;0;Berhenti sih berhenti tapi itu pulau sudah jadi, mubazir kalo gak di manfaatin, kasian tu pulau Saya berharap itu pulau tetep di lanjutin aja, kalo memang di larang kenapa dulu di izikn;http://www.youtube.com/channel/UCHhblWFPr9nI0wotCFx9TCg
141;My Name is D;Mau di jadiin daerah maju malah ngga mau ??, intinya ini pulau kedepan pasti akan terlaksana hingga selesai, banyak kali action kalian skrg.;UgwGTXHatFqy22KLc_p4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwGTXHatFqy22KLc_p4AaABAg;2019-02-07 03:20:24;0;Mau di jadiin daerah maju malah ngga mau ??, intinya ini pulau kedepan pasti akan terlaksana hingga selesai, banyak kali action kalian skrg.;http://www.youtube.com/channel/UCdxTk3y0fb2UgGgYqWZtYng
142;Muhammad Haris;Reklamasi di teluk Jakarta sangat membahayakan persatuan dan kesatuan. Dulu si Ahok dan kroni2 nya ngotot dibangun pulau di Reklamasi agar tempat kumpul nya si Aseng yg berduit gar mereka aman disana. Bagusnya pulau Reklamasi itu di jadikan pelabuhan, Bandara atau Taman saja agar bs di niikmati oleh masyarakat luas. Klo tdk pulau reklamasi jd kan kayak Cernobyl di ukraina jd tdk bs dijadikan tmpt tinggal;UgzZBMIVobN_F9ugkVx4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzZBMIVobN_F9ugkVx4AaABAg;2019-02-07 01:39:11;0;Reklamasi di teluk Jakarta sangat membahayakan persatuan dan kesatuan. Dulu si Ahok dan kroni2 nya ngotot dibangun pulau di Reklamasi agar tempat kumpul nya si Aseng yg berduit gar mereka aman disana. Bagusnya pulau Reklamasi itu di jadikan pelabuhan, Bandara atau Taman saja agar bs di niikmati oleh masyarakat luas. Klo tdk pulau reklamasi jd kan kayak Cernobyl di ukraina jd tdk bs dijadikan tmpt tinggal;http://www.youtube.com/channel/UCLQTTHjX1shOOPyVcSv2FMA
143;r h;kalo gak buat pangkalan militer TNI kita pak lebih keren;Ugw_XJT2Qzxb0vNOJN14AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugw_XJT2Qzxb0vNOJN14AaABAg;2019-02-06 10:45:31;0;kalo gak buat pangkalan militer TNI kita pak lebih keren;http://www.youtube.com/channel/UCP7a_WmxrhomrQQOsuVDhdA
144;r h;kalo gua sih setujuh sama bapak anis kenapa di tutup berarti ada maksudnya tertentu no comment. buat saya pak anis dari pada begitu lebih baik di huni sajah buat saudara kita yang korban perang di palestine atu suriah lebih baik pak pengusihan saudara seiman yang setujuh like;UgxhUeFDS5F354eX2yR4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxhUeFDS5F354eX2yR4AaABAg;2019-02-06 10:40:40;0;kalo gua sih setujuh sama bapak anis kenapa di tutup berarti ada maksudnya tertentu no comment. buat saya pak anis dari pada begitu lebih baik di huni sajah buat saudara kita yang korban perang di palestine atu suriah lebih baik pak pengusihan saudara seiman yang setujuh like;http://www.youtube.com/channel/UCP7a_WmxrhomrQQOsuVDhdA
145;akank ojhai;jadikan rumah subsidi aja, masih banyak yg blom punya rumah.....;UgzKe02XJxblZpC352Z4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzKe02XJxblZpC352Z4AaABAg;2019-02-05 16:13:51;0;jadikan rumah subsidi aja, masih banyak yg blom punya rumah.....;http://www.youtube.com/channel/UCbkk2VDo7ww5r4hjZAjexjQ
146;Liu Zubun;bagus nya si di bikin tempat kasino. discotik. psk. asik kali ya;UgxzHIrH2p2-b2ZVdeZ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxzHIrH2p2-b2ZVdeZ4AaABAg;2019-02-02 09:01:36;0;bagus nya si di bikin tempat kasino. discotik. psk. asik kali ya;http://www.youtube.com/channel/UC7-SAtcx0yCUHGk2vzeMdFw
147;Cesrec 77;Diberikan : Tanah subur malah diaspal n beton Gunung banyak malah dipangkas Hutan yang lebat malah dibabat Laut yang luas malah diuruk Ya sudah lah hanya segitu aja kemampuannya;UgzvN827KPIyDcT1qQl4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzvN827KPIyDcT1qQl4AaABAg;2019-01-29 20:46:54;0;Diberikan : Tanah subur malah diaspal n beton Gunung banyak malah dipangkas Hutan yang lebat malah dibabat Laut yang luas malah diuruk Ya sudah lah hanya segitu aja kemampuannya;http://www.youtube.com/channel/UCi7U8O6D7NauwwGv8DSPEMA
148;Rita Zurkiah;Pasirnya harus dikembalikan lagi keasalny.;Ugxq5D8zRAWXtf6AYUV4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugxq5D8zRAWXtf6AYUV4AaABAg;2019-01-29 01:24:01;0;Pasirnya harus dikembalikan lagi keasalny.;http://www.youtube.com/channel/UCL9oUelSMDSbFsCCeg9glkw
149;Didi Junaidi;Ko belum ada ijin bisa membangun,,,jadi begini deh,,,sayangkan uang Podomoro group sudah ngeluarin uang banyak untuk pemerintah pusat sama pemerintah daerah;UgzrGAGsjzCBZClhqTB4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzrGAGsjzCBZClhqTB4AaABAg;2019-01-28 22:52:16;0;Ko belum ada ijin bisa membangun,,,jadi begini deh,,,sayangkan uang Podomoro group sudah ngeluarin uang banyak untuk pemerintah pusat sama pemerintah daerah;http://www.youtube.com/channel/UCbWqi6gDQ6nHOAkTXjLEWbQ
150;Ridho;Cebong pada komen disini semua ya ??;Ugx22_JXbwdxxoNtGBd4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugx22_JXbwdxxoNtGBd4AaABAg;2019-01-28 17:48:39;0;Cebong pada komen disini semua ya ??;http://www.youtube.com/channel/UCW0X_o2Y1tPhHAUGxjoJE2g
151;Champion Cell;PIK aja sudah di isi oleh mayoritas yg berbahasa asing, apalagi ini ???;UgwzJqKfTZhApjLcGcJ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwzJqKfTZhApjLcGcJ4AaABAg;2019-01-27 17:39:08;0;PIK aja sudah di isi oleh mayoritas yg berbahasa asing, apalagi ini ???;http://www.youtube.com/channel/UCqLsoEtZSRDuCOFxJUxHqmA
152;Kandung Ramidi;gaener arab aktornya;UgyEPxW9mUE9RLwDIVJ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgyEPxW9mUE9RLwDIVJ4AaABAg;2019-01-27 01:27:03;0;gaener arab aktornya;http://www.youtube.com/channel/UCuAiHZ8ElpKMvEhb-x3kBCg
153;iwan vmp;Padahal klo ga berhenti,,pasti jd nya bagus..hehe;UgxidbzzGgWOjuo3dh54AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxidbzzGgWOjuo3dh54AaABAg;2019-01-26 03:11:43;0;Padahal klo ga berhenti,,pasti jd nya bagus..hehe;http://www.youtube.com/channel/UC1W27euCAT5UCi9cypL8Lyg
154;iyud 1922;Ini proyek yg di laknat Allah SWT;UgxwlgPNy7yrwXPuccl4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxwlgPNy7yrwXPuccl4AaABAg;2019-01-25 22:32:43;0;Ini proyek yg di laknat Allah SWT;http://www.youtube.com/channel/UC-JC96de1AnfeKOS0mmXlPw
155;puji anto;Pengusaha mengalahkan Negara disebabkan negara tidak dapat menjaga iuran pajak serta pengeluaran yg hanya untuk menggaji aparatur negara yg pasif akibatnya penjajah dan pengkhianat penikmat wilayah Indonesia ini hasil warisan pemimpin berotak memperkaya sendiri..;Ugws_B8pWylDwrItlep4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugws_B8pWylDwrItlep4AaABAg;2019-01-24 19:20:30;0;Pengusaha mengalahkan Negara disebabkan negara tidak dapat menjaga iuran pajak serta pengeluaran yg hanya untuk menggaji aparatur negara yg pasif akibatnya penjajah dan pengkhianat penikmat wilayah Indonesia ini hasil warisan pemimpin berotak memperkaya sendiri..;http://www.youtube.com/channel/UCtOFYSTuy4Y6s2RzrncF7og
156;Zainal Arifin;Terimaksih pak anis. Karna dengan itu negara kami tidak terlalu banyak dibanjiri pekerja cina imigran.;UgzMvKCKPoFdsS90U0F4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzMvKCKPoFdsS90U0F4AaABAg;2019-01-22 06:25:20;0;Terimaksih pak anis. Karna dengan itu negara kami tidak terlalu banyak dibanjiri pekerja cina imigran.;http://www.youtube.com/channel/UCfkXHixaHoFbuos02JMAXjQ
157;ahmad. kholid;assalamualaikum fah,;Ugz1Fs0WOKNqkMEN4_d4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugz1Fs0WOKNqkMEN4_d4AaABAg;2019-01-20 09:23:03;0;assalamualaikum fah,;http://www.youtube.com/channel/UCUzkWkIQJp5JEMOW7RJ4XxA
158;Jonathan VHT;Pea bukan nya di lanjutin malah distop padahal buat kemajuan Jakarta yg sempit dan macet ntar kita lama lama kita kalah sama Singapura yg jago buat pulau reklamasi;UgwzRiD8Ta130_kHXaJ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwzRiD8Ta130_kHXaJ4AaABAg;2019-01-19 09:49:12;0;Pea bukan nya di lanjutin malah distop padahal buat kemajuan Jakarta yg sempit dan macet ntar kita lama lama kita kalah sama Singapura yg jago buat pulau reklamasi;http://www.youtube.com/channel/UCfFEOneHj9AVO5Nl9WXkpvA
159;Hajra_dira;kalah Sama Di makassar reklamasi Makassar 100 % udah selesai;Ugyeti91JKhaGedYgsp4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugyeti91JKhaGedYgsp4AaABAg;2019-01-18 16:45:40;0;kalah Sama Di makassar reklamasi Makassar 100 % udah selesai;http://www.youtube.com/channel/UCdzfgIVghX6pZ1D_jDE-Mqg
160;dandi- aja;Kita punya banyak pulau di sekitar ancol.. Dan itu bisa dimanfaatkan..utk hunian masyarakat bila dikembangkan. Tambah lagi kita sering kena tsunami, jadi menurut saya resiko tinggi utk membuat pulau2 kecil spt reklamasi, bila musibah itu datang.;UgxzoWhrk8zM3-71_WF4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxzoWhrk8zM3-71_WF4AaABAg;2019-01-17 16:45:58;0;Kita punya banyak pulau di sekitar ancol.. Dan itu bisa dimanfaatkan..utk hunian masyarakat bila dikembangkan. Tambah lagi kita sering kena tsunami, jadi menurut saya resiko tinggi utk membuat pulau2 kecil spt reklamasi, bila musibah itu datang.;http://www.youtube.com/channel/UCjG8FK6CqybmWLqF5qn4ffg
161;mamang kuraya;kaga penting... mending buat pangkalan militer saja;UgxWKyunf5a07hQBOMp4AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxWKyunf5a07hQBOMp4AaABAg;2019-01-17 03:23:45;0;kaga penting... mending buat pangkalan militer saja;http://www.youtube.com/channel/UCYuzgp4MSm_3-uV3DkxEkmQ
162;williem hendra;"Sampai Sekarang 2019 Sejak Pak Uno keluar .. tidak ada yang mau menjadi wakil Gubernur mendampingi Pak Anies... yang kita tunggu saja akhir Gubernur DKI jakarta 2022. Dan kita lihat saja .. Apa Hasil dari Kinerja Pak Anies selama menjabat sebagai Gubernur... Dan kebanyakan juga Hasil selesaiin doank dari Kinerja Gubenur DKI jakarta sebelumnya. Cuman Menghentikan Reklamasi Pulau doank percuma... Tidak mensejahterakan Nelayan yang demo2 kemarin, Pulaunya juga masih ada dan tidak di Kembalikan seperti Semula.. Kalau Mentri Susi sendiri ""Kapal Asing aja berani di Boom buat Habitat Ikan di bawah Laut!"" Coba Anies berani tak Boom itu Pulau dan Jadikan Habitat Ikan.. Jadi nelayan tak ngeluh lagi karena beli BBM buat berlayar jauh cari ikan. Ibarat kerja kok setegah hati.. lol...tak beres...";UgyvQ_CslVsj7pjozH54AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgyvQ_CslVsj7pjozH54AaABAg;2019-01-16 22:44:56;0;"Sampai Sekarang 2019 Sejak Pak Uno keluar .. tidak ada yang mau menjadi wakil Gubernur mendampingi Pak Anies... yang kita tunggu saja akhir Gubernur DKI jakarta 2022. Dan kita lihat saja .. Apa Hasil dari Kinerja Pak Anies selama menjabat sebagai Gubernur... Dan kebanyakan juga Hasil selesaiin doank dari Kinerja Gubenur DKI jakarta sebelumnya. Cuman Menghentikan Reklamasi Pulau doank percuma... Tidak mensejahterakan Nelayan yang demo2 kemarin, Pulaunya juga masih ada dan tidak di Kembalikan seperti Semula.. Kalau Mentri Susi sendiri ""Kapal Asing aja berani di Boom buat Habitat Ikan di bawah Laut!"" Coba Anies berani tak Boom itu Pulau dan Jadikan Habitat Ikan.. Jadi nelayan tak ngeluh lagi karena beli BBM buat berlayar jauh cari ikan. Ibarat kerja kok setegah hati.. lol...tak beres...";http://www.youtube.com/channel/UCcCIqTvnVmz3RZMDPNlm88w
163;Enda Soz;Lokasi pulau2 reklamasi sebaiknya dialihfungsikan menjadi lokasi wisata lokal saja dengan azas kesetaraan, artinya bukan untuk konsumsi masyarakat kelas atas saja tapi untuk seluruh lapisan dengan biaya terjangkau. Pada gilirannya, para nelayan dan masyarakat sekitar di pantai utara Jakarta akan ikut menikmati dampak penguatan ekonomi mereka nantinya...;Ugz7S_1iTUmX6EVJfnZ4AaABAg;;5;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugz7S_1iTUmX6EVJfnZ4AaABAg;2019-01-14 22:04:26;1;Lokasi pulau2 reklamasi sebaiknya dialihfungsikan menjadi lokasi wisata lokal saja dengan azas kesetaraan, artinya bukan untuk konsumsi masyarakat kelas atas saja tapi untuk seluruh lapisan dengan biaya terjangkau. Pada gilirannya, para nelayan dan masyarakat sekitar di pantai utara Jakarta akan ikut menikmati dampak penguatan ekonomi mereka nantinya...;http://www.youtube.com/channel/UCfnHk22XeiDTv4FI2a3UcDw
164;djkasdjkasdjdjdj;bnyk preman sama tata kelolanya buruk kalo kaya gitu biasanya;Ugz7S_1iTUmX6EVJfnZ4AaABAg.8q6R3HSmCQO9s8G7nl5VDQ;Enda Soz;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugz7S_1iTUmX6EVJfnZ4AaABAg.8q6R3HSmCQO9s8G7nl5VDQ;2023-07-14 02:39:26;0;bnyk preman sama tata kelolanya buruk kalo kaya gitu biasanya;http://www.youtube.com/channel/UCG5rZzxuUIMtNAyoHrqsCvQ
165;Ardii;Kenapa ya diberhentikan.. kan sayang... itukan udah 100% selesai itu dilanjutin yang lain stop gitu lah '-')/;UgzuW02jUruxrhVkLt94AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzuW02jUruxrhVkLt94AaABAg;2019-01-14 09:46:32;1;Kenapa ya diberhentikan.. kan sayang... itukan udah 100% selesai itu dilanjutin yang lain stop gitu lah '-')/;http://www.youtube.com/channel/UCFalB4Rz05Zb7vnv9Awc0XQ
166;Annisa Cantik;Karna yg bakal tinggal. Org china;UgzuW02jUruxrhVkLt94AaABAg.8q56bjNEBII8s_XJrafj6E;Ardii;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzuW02jUruxrhVkLt94AaABAg.8q56bjNEBII8s_XJrafj6E;2019-03-17 08:39:08;0;Karna yg bakal tinggal. Org china;http://www.youtube.com/channel/UCCaP7bsraMy8eA9l45tp7sQ
167;The Peanut Butter;ah lucu si anis jg.. sukanya ganti2 nama doang.. ky alexis digrebek.. tahunya cm ganti nama.. tp msh ad.. trus reklamasi jg dia bilang nga blh.. tahunya pulau C jd pulau KITA namanya sdgkan pulau D Jd pulau MAJU.. sngnya ganti nama doang.. pdhl nga ad krjaannya dia.. selain malakin cukong cina.. tar lama lama anis namanya ganti jd ANUS mau nga pak.. cm nanya.. kekekkekeekeke;UgxHweXbvGriWD06lcB4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxHweXbvGriWD06lcB4AaABAg;2019-01-07 10:59:01;0;ah lucu si anis jg.. sukanya ganti2 nama doang.. ky alexis digrebek.. tahunya cm ganti nama.. tp msh ad.. trus reklamasi jg dia bilang nga blh.. tahunya pulau C jd pulau KITA namanya sdgkan pulau D Jd pulau MAJU.. sngnya ganti nama doang.. pdhl nga ad krjaannya dia.. selain malakin cukong cina.. tar lama lama anis namanya ganti jd ANUS mau nga pak.. cm nanya.. kekekkekeekeke;http://www.youtube.com/channel/UCktqCxKp8k1U8f7F-uotA9A
168;Eucharisto 1;Semoga setelah anies lengser dan jakarta memiliki gubernur baru yang lebih pintar dan bijaksana semoga pulau reklamasi akan digarap hingga tuntas. Amin;UgwSSx_-0pCCaktl9uN4AaABAg;;7;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwSSx_-0pCCaktl9uN4AaABAg;2019-01-01 22:45:15;1;Semoga setelah anies lengser dan jakarta memiliki gubernur baru yang lebih pintar dan bijaksana semoga pulau reklamasi akan digarap hingga tuntas. Amin;http://www.youtube.com/channel/UCZiploSV_pjve4EgUyA5c2g
169;Yohanes Mulyadi;Semoga pengganti nya sma cerdas nya dengan anies. Meutup semua celah proyek cukong;UgwSSx_-0pCCaktl9uN4AaABAg.8pa1OmOSCzC9XV7rOy1Bpw;Eucharisto 1;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwSSx_-0pCCaktl9uN4AaABAg.8pa1OmOSCzC9XV7rOy1Bpw;2022-01-22 03:19:00;0;Semoga pengganti nya sma cerdas nya dengan anies. Meutup semua celah proyek cukong;http://www.youtube.com/channel/UC_HZtFEP2cZtmxwzTHuB48A
